Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0x85f0f030:wininit.exe                               424    360      3     83 2020-10-17 09:07:06 UTC+0000
. 0x85f92030:services.exe                             516    424      8    213 2020-10-17 09:07:06 UTC+0000
.. 0x86895680:svchost.exe                             640    516     13    367 2020-10-17 09:07:07 UTC+0000
... 0x85048250:dllhost.exe                           3616    640      0 ------ 2020-10-17 09:09:25 UTC+0000
... 0x85010d40:HelpPane.exe                          3228    640      9    242 2020-10-17 09:09:07 UTC+0000
... 0x84eecd40:dllhost.exe                           3552    640      0 ------ 2020-10-17 09:09:12 UTC+0000
... 0x851c33e8:dllhost.exe                           2288    640      0 ------ 2020-10-17 09:09:25 UTC+0000
.. 0x86001810:SearchIndexer.                         2176    516     16    736 2020-10-17 09:07:29 UTC+0000
.. 0x86ac1030:sppsvc.exe                             1300    516      4    168 2020-10-17 09:07:16 UTC+0000
.. 0x868f6d40:svchost.exe                             912    516     24    474 2020-10-17 09:07:07 UTC+0000
... 0x86ab04d0:dwm.exe                                944    912      4     74 2020-10-17 09:07:22 UTC+0000
.. 0x85e54300:svchost.exe                            1428    516     21    346 2020-10-17 09:07:07 UTC+0000
.. 0x868c2030:svchost.exe                             772    516      7    256 2020-10-17 09:07:07 UTC+0000
.. 0x869c6030:svchost.exe                            1540    516     29    396 2020-10-17 09:07:07 UTC+0000
.. 0x86940738:svchost.exe                            1220    516     23    494 2020-10-17 09:07:07 UTC+0000
.. 0x8609a030:svchost.exe                             948    516     39   1056 2020-10-17 09:07:07 UTC+0000
.. 0x8699e260:svchost.exe                            1980    516      5    106 2020-10-17 09:07:08 UTC+0000
.. 0x868ba880:VBoxService.ex                          708    516     12    119 2020-10-17 09:07:07 UTC+0000
.. 0x86ba7030:svchost.exe                            3348    516     17    348 2020-10-17 09:09:09 UTC+0000
.. 0x86922030:svchost.exe                            1100    516     32    575 2020-10-17 09:07:07 UTC+0000
.. 0x868dc9f8:svchost.exe                             868    516     22    495 2020-10-17 09:07:07 UTC+0000
... 0x8690c438:audiodg.exe                           1028    868      7    136 2020-10-17 09:07:07 UTC+0000
.. 0x84ee5d40:wmpnetwk.exe                           3388    516     12    218 2020-10-17 09:09:09 UTC+0000
.. 0x86a77030:taskhost.exe                           1136    516     10    154 2020-10-17 09:07:16 UTC+0000
.. 0x86976408:spoolsv.exe                            1400    516     13    292 2020-10-17 09:07:07 UTC+0000
. 0x86868030:lsm.exe                                  540    424     10    146 2020-10-17 09:07:06 UTC+0000
. 0x86865448:lsass.exe                                532    424      7    535 2020-10-17 09:07:06 UTC+0000
 0x85e97030:csrss.exe                                 376    360      9    414 2020-10-17 09:07:06 UTC+0000
 0x84ecfbb0:System                                      4      0    119    547 2020-10-17 09:07:05 UTC+0000
. 0x8601d020:smss.exe                                 304      4      2     34 2020-10-17 09:07:05 UTC+0000
 0x86ad9030:explorer.exe                              656   1356     39   1065 2020-10-17 09:07:22 UTC+0000
. 0x86b4e4e0:VBoxTray.exe                             396    656      9     93 2020-10-17 09:07:22 UTC+0000
. 0x84ef4a60:DumpIt.exe                              2804    656      2     47 2020-10-17 09:09:25 UTC+0000
. 0x86c3fd40:WinHex.exe                              3268    656      1     69 2020-10-17 09:09:06 UTC+0000
. 0x86a504f0:Pinpoint_Hash.                          3948    656      7    155 2020-10-17 09:08:25 UTC+0000
. 0x85fab780:Pinpoint_Hash.                          2164    656     21    495 2020-10-17 09:08:30 UTC+0000
 0x85f10778:csrss.exe                                 432    416      9    233 2020-10-17 09:07:06 UTC+0000
. 0x86c34d40:conhost.exe                             2784    432      2     51 2020-10-17 09:09:25 UTC+0000
 0x85f1c060:winlogon.exe                              472    416      6    121 2020-10-17 09:07:06 UTC+0000
