Process(V) Name                 Module Base Module Name          Result
---------- -------------------- ----------- -------------------- ------
0x85041698 smss.exe             0x047740000 smss.exe             OK: module.216.dfc41698.47740000.dll
0x85041698 smss.exe             0x077b10000 ntdll.dll            OK: module.216.dfc41698.77b10000.dll
0x856076d0 csrss.exe            0x049ef0000 csrss.exe            OK: module.284.df6076d0.49ef0000.dll
0x856076d0 csrss.exe            0x077b10000 ntdll.dll            OK: module.284.df6076d0.77b10000.dll
0x856076d0 csrss.exe            0x077830000 kernel32.dll         OK: module.284.df6076d0.77830000.dll
0x856076d0 csrss.exe            0x077700000 LPK.dll              OK: module.284.df6076d0.77700000.dll
0x856076d0 csrss.exe            0x0759d0000 winsrv.DLL           OK: module.284.df6076d0.759d0000.dll
0x856076d0 csrss.exe            0x075a60000 KERNELBASE.dll       OK: module.284.df6076d0.75a60000.dll
0x856076d0 csrss.exe            0x077d00000 GDI32.dll            OK: module.284.df6076d0.77d00000.dll
0x856076d0 csrss.exe            0x076780000 RPCRT4.dll           OK: module.284.df6076d0.76780000.dll
0x856076d0 csrss.exe            0x077790000 USP10.dll            OK: module.284.df6076d0.77790000.dll
0x856076d0 csrss.exe            0x075910000 CRYPTBASE.dll        OK: module.284.df6076d0.75910000.dll
0x856076d0 csrss.exe            0x0765b0000 sechost.dll          OK: module.284.df6076d0.765b0000.dll
0x856076d0 csrss.exe            0x0759c0000 sxssrv.DLL           OK: module.284.df6076d0.759c0000.dll
0x856076d0 csrss.exe            0x0766d0000 ADVAPI32.dll         OK: module.284.df6076d0.766d0000.dll
0x856076d0 csrss.exe            0x0764d0000 msvcrt.dll           OK: module.284.df6076d0.764d0000.dll
0x856076d0 csrss.exe            0x075920000 sxs.dll              OK: module.284.df6076d0.75920000.dll
0x856076d0 csrss.exe            0x075a00000 basesrv.DLL          OK: module.284.df6076d0.75a00000.dll
0x856076d0 csrss.exe            0x075a10000 CSRSRV.dll           OK: module.284.df6076d0.75a10000.dll
0x856076d0 csrss.exe            0x075d50000 USER32.dll           OK: module.284.df6076d0.75d50000.dll
0x85c8a500 csrss.exe            0x049ef0000 csrss.exe            OK: module.320.df08a500.49ef0000.dll
0x85c8a500 csrss.exe            0x077b10000 ntdll.dll            OK: module.320.df08a500.77b10000.dll
0x85c8a500 csrss.exe            0x077830000 kernel32.dll         OK: module.320.df08a500.77830000.dll
0x85c8a500 csrss.exe            0x077700000 LPK.dll              OK: module.320.df08a500.77700000.dll
0x85c8a500 csrss.exe            0x0759d0000 winsrv.DLL           OK: module.320.df08a500.759d0000.dll
0x85c8a500 csrss.exe            0x075a60000 KERNELBASE.dll       OK: module.320.df08a500.75a60000.dll
0x85c8a500 csrss.exe            0x077d00000 GDI32.dll            OK: module.320.df08a500.77d00000.dll
0x85c8a500 csrss.exe            0x076780000 RPCRT4.dll           OK: module.320.df08a500.76780000.dll
0x85c8a500 csrss.exe            0x077790000 USP10.dll            OK: module.320.df08a500.77790000.dll
0x85c8a500 csrss.exe            0x075910000 CRYPTBASE.dll        OK: module.320.df08a500.75910000.dll
0x85c8a500 csrss.exe            0x0765b0000 sechost.dll          OK: module.320.df08a500.765b0000.dll
0x85c8a500 csrss.exe            0x0759c0000 sxssrv.DLL           OK: module.320.df08a500.759c0000.dll
0x85c8a500 csrss.exe            0x0766d0000 ADVAPI32.dll         OK: module.320.df08a500.766d0000.dll
0x85c8a500 csrss.exe            0x0764d0000 msvcrt.dll           OK: module.320.df08a500.764d0000.dll
0x85c8a500 csrss.exe            0x075920000 sxs.dll              OK: module.320.df08a500.75920000.dll
0x85c8a500 csrss.exe            0x075a00000 basesrv.DLL          OK: module.320.df08a500.75a00000.dll
0x85c8a500 csrss.exe            0x075a10000 CSRSRV.dll           OK: module.320.df08a500.75a10000.dll
0x85c8a500 csrss.exe            0x075d50000 USER32.dll           OK: module.320.df08a500.75d50000.dll
0x85c95d28 wininit.exe          0x000190000 wininit.exe          OK: module.328.df095d28.190000.dll
0x85c95d28 wininit.exe          0x077b10000 ntdll.dll            OK: module.328.df095d28.77b10000.dll
0x85c95d28 wininit.exe          0x077830000 kernel32.dll         OK: module.328.df095d28.77830000.dll
0x85c95d28 wininit.exe          0x0756a0000 secur32.dll          OK: module.328.df095d28.756a0000.dll
0x85c95d28 wininit.exe          0x076780000 RPCRT4.dll           OK: module.328.df095d28.76780000.dll
0x85c95d28 wininit.exe          0x0765b0000 sechost.dll          OK: module.328.df095d28.765b0000.dll
0x85c95d28 wininit.exe          0x077d00000 GDI32.dll            OK: module.328.df095d28.77d00000.dll
0x85c95d28 wininit.exe          0x075a30000 profapi.dll          OK: module.328.df095d28.75a30000.dll
0x85c95d28 wininit.exe          0x075d50000 USER32.dll           OK: module.328.df095d28.75d50000.dll
0x85c95d28 wininit.exe          0x075480000 mswsock.dll          OK: module.328.df095d28.75480000.dll
0x85c95d28 wininit.exe          0x0758a0000 SSPICLI.DLL          OK: module.328.df095d28.758a0000.dll
0x85c95d28 wininit.exe          0x0764c0000 NSI.dll              OK: module.328.df095d28.764c0000.dll
0x85c95d28 wininit.exe          0x0766d0000 ADVAPI32.dll         OK: module.328.df095d28.766d0000.dll
0x85c95d28 wininit.exe          0x075520000 wship6.dll           OK: module.328.df095d28.75520000.dll
0x85c95d28 wininit.exe          0x075980000 RpcRtRemote.dll      OK: module.328.df095d28.75980000.dll
0x85c95d28 wininit.exe          0x077790000 USP10.dll            OK: module.328.df095d28.77790000.dll
0x85c95d28 wininit.exe          0x0750d0000 credssp.dll          OK: module.328.df095d28.750d0000.dll
0x85c95d28 wininit.exe          0x0758c0000 apphelp.dll          OK: module.328.df095d28.758c0000.dll
0x85c95d28 wininit.exe          0x0775d0000 MSCTF.dll            OK: module.328.df095d28.775d0000.dll
0x85c95d28 wininit.exe          0x075a60000 KERNELBASE.dll       OK: module.328.df095d28.75a60000.dll
0x85c95d28 wininit.exe          0x0776a0000 WS2_32.dll           OK: module.328.df095d28.776a0000.dll
0x85c95d28 wininit.exe          0x074ec0000 wshtcpip.dll         OK: module.328.df095d28.74ec0000.dll
0x85c95d28 wininit.exe          0x0764d0000 msvcrt.dll           OK: module.328.df095d28.764d0000.dll
0x85c95d28 wininit.exe          0x0776e0000 IMM32.DLL            OK: module.328.df095d28.776e0000.dll
0x85c95d28 wininit.exe          0x077700000 LPK.dll              OK: module.328.df095d28.77700000.dll
0x85c95d28 wininit.exe          0x075910000 CRYPTBASE.dll        OK: module.328.df095d28.75910000.dll
0x85c8b8e8 winlogon.exe         0x000280000 winlogon.exe         OK: module.352.df08b8e8.280000.dll
0x85c8b8e8 winlogon.exe         0x077b10000 ntdll.dll            OK: module.352.df08b8e8.77b10000.dll
0x85c8b8e8 winlogon.exe         0x077830000 kernel32.dll         OK: module.352.df08b8e8.77830000.dll
