Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0x856076d0:csrss.exe                                 284    276      9    437 2020-10-28 03:25:24 UTC+0000
. 0x85031d28:conhost.exe                             1828    284      2     33 2020-10-27 11:25:41 UTC+0000
 0x85c95d28:wininit.exe                               328    276      3     82 2020-10-28 03:25:25 UTC+0000
. 0x85cbf4e8:services.exe                             416    328      6    210 2020-10-28 03:25:26 UTC+0000
.. 0x85eab0d8:taskhost.exe                           1472    416      9    212 2020-10-27 11:25:37 UTC+0000
.. 0x85d3cd28:svchost.exe                             648    416      9    252 2020-10-27 11:25:32 UTC+0000
.. 0x85d8cc70:svchost.exe                             908    416      5    115 2020-10-27 11:25:34 UTC+0000
.. 0x85d67aa8:svchost.exe                             776    416     16    398 2020-10-27 11:25:33 UTC+0000
... 0x85ec0c70:dwm.exe                               1544    776      3     69 2020-10-27 11:25:38 UTC+0000
.. 0x85e414b0:cygrunsrv.exe                          1556    416      6    101 2020-10-27 11:25:38 UTC+0000
... 0x84fb5398:cygrunsrv.exe                         1808   1556      0 ------ 2020-10-27 11:25:40 UTC+0000
.... 0x85f4f1c0:sshd.exe                             1868   1808      4    100 2020-10-27 11:25:41 UTC+0000
.. 0x85df0c18:spoolsv.exe                            1176    416     13    276 2020-10-27 11:25:36 UTC+0000
.. 0x85fb1030:sppsvc.exe                              796    416      4    166 2020-10-27 11:25:43 UTC+0000
.. 0x85d2a030:VBoxService.ex                          584    416     11    118 2020-10-28 03:25:31 UTC+0000
.. 0x85fdf030:svchost.exe                            1716    416      5     92 2020-10-27 11:25:46 UTC+0000
.. 0x85d7a6d8:svchost.exe                             824    416     30   1067 2020-10-27 11:25:33 UTC+0000
... 0x85394030:wuauclt.exe                           1196    824      3     88 2020-10-27 11:30:58 UTC+0000
.. 0x86048c38:SearchIndexer.                         2292    416     13    638 2020-10-27 11:25:59 UTC+0000
... 0x88789418:SearchProtocol                        1944   2292      6    316 2020-10-27 12:48:38 UTC+0000
... 0x8af09030:SearchFilterHo                        1444   2292      4    104 2020-10-27 12:48:39 UTC+0000
.. 0x85d5f760:svchost.exe                             736    416     18    458 2020-10-27 11:25:33 UTC+0000
.. 0x85e17970:svchost.exe                            1220    416     17    314 2020-10-27 11:25:36 UTC+0000
.. 0x85db8338:svchost.exe                            1036    416     15    483 2020-10-27 11:25:34 UTC+0000
.. 0x85e5e920:svchost.exe                            1360    416     11    318 2020-10-27 11:25:36 UTC+0000
.. 0x85d6d030:svchost.exe                             800    416     29    591 2020-10-27 11:25:33 UTC+0000
.. 0x85e61030:svchost.exe                            1388    416     23    518 2020-10-27 11:25:36 UTC+0000
.. 0x8ae103c0:taskhost.exe                           3936    416      6    290 2020-10-27 11:40:40 UTC+0000
.. 0x85f69d28:wlms.exe                               1908    416      4     46 2020-10-27 11:25:41 UTC+0000
.. 0x860c8030:svchost.exe                            3060    416     14    409 2020-10-27 11:27:44 UTC+0000
.. 0x85d1b9b8:svchost.exe                             524    416      9    358 2020-10-28 03:25:31 UTC+0000
. 0x85cc5030:lsass.exe                                424    328      6    594 2020-10-28 03:25:26 UTC+0000
. 0x85cc63c8:lsm.exe                                  432    328     10    147 2020-10-28 03:25:26 UTC+0000
 0x84ed1b98:System                                      4      0     87    537 2020-10-28 03:25:22 UTC+0000
. 0x85041698:smss.exe                                 216      4      2     29 2020-10-28 03:25:22 UTC+0000
 0x85ed2030:explorer.exe                             1600   1524     38   1047 2020-10-27 11:25:38 UTC+0000
. 0x853dd8e0:DumpIt.exe                              3360   1600      1     18 2020-10-27 12:49:09 UTC+0000
. 0x85fd9030:VBoxTray.exe                            1804   1600     12    142 2020-10-27 11:25:45 UTC+0000
. 0x886bf758:BC14.exe                                3676   1600      1     75 2020-10-27 12:49:14 UTC+0000
. 0x88697958:DumpIt.exe                              1812   1600      1     19 2020-10-27 12:49:23 UTC+0000
 0x85c8a500:csrss.exe                                 320    312      8    240 2020-10-28 03:25:25 UTC+0000
. 0x8640fa40:conhost.exe                             2976    320      2     34 2020-10-27 12:49:09 UTC+0000
. 0x853b39b0:conhost.exe                              540    320      2     34 2020-10-27 12:49:23 UTC+0000
 0x85c8b8e8:winlogon.exe                              352    312      3    110 2020-10-28 03:25:25 UTC+0000
